pH,TotalBodyLength
8.1S,263.882
8.1S,357.475
8.1S,300.612
8.1S,319.776
8.1S,255.177
8.1S,324.217
8.1S,371.547
8.1S,335.477
8.1S,337.8
8.1S,297.027
8.1S,330.153
8.1S,301.849
8.1S,300.086
8.1S,325.29
8.1S,374.357
8.1S,371.871
8.1S,276.383
8.1S,312.86
8.1S,365.32
8.1S,279.027
8.1S,295.932
7.5S,286.631
7.5S,244.744
7.5S,212.602
7.5S,173.537
7.5S,197.407
7.5S,228.47
7.5S,268.244
7.5S,251.51
7.5S,224.187
7.5S,219.618
7.5S,230.699
7.5S,247.086
7.5S,238.818
7.5S,206.886
7.5S,223.54
7.5S,181.235
7.5S,244.052
7.5S,197.068
7.5S,244.265
7.5S,257.49
7.5S,259.798
7.5S,247.879
7.5S,209.496
7.0S,152.127
7.0S,234.044
7.0S,162.49
7.0S,174.073
7.0S,193.573
7.0S,197.315
7.0S,200.659
7.0S,150.814
7.0S,172.87
7.0S,171.514
7.0S,161.176
7.0S,172.694
7.0S,132.417
7.0S,191.678
7.0S,144.938
7.0S,189.25
7.0S,158.325
7.0S,169.625
7.0S,162.724
7.0S,216.424
8.1V,259.783
8.1V,207.187
8.1V,231.789
8.1V,307.27
8.1V,290.055
8.1V,343.023
8.1V,264.341
8.1V,273.017
8.1V,270.853
8.1V,200.278
8.1V,255.294
8.1V,265.432
8.1V,302.755
8.1V,306.073
8.1V,252.959
8.1V,294.666
8.1V,219.236
8.1V,338.622
8.1V,258.433
8.1V,225.594
7.5V,194.621
7.5V,199.124
7.5V,241.316
7.5V,223.33
7.5V,228.462
7.5V,201.971
7.5V,243.064
7.5V,183.524
7.5V,239.932
7.5V,211.145
7.5V,202.404
7.5V,218.499
7.5V,210.165
7.5V,257.921
7.5V,193.173
7.5V,236.417
7.5V,236.534
7.5V,200.515
7.5V,244.042
7.5V,302.256
7.0V,113.279
7.0V,172.667
7.0V,172.626
7.0V,153.875
7.0V,157.312
7.0V,181.011
7.0V,159.875
7.0V,129.203
7.0V,147.578
7.0V,167.459
7.0V,148.322
7.0V,152.528
7.0V,184.857
7.0V,168.41
7.0V,129.115
7.0V,147.543
7.0V,139.186
7.0V,144.8
7.0V,107.798
7.0V,145.152
7.0V,157.31
7.0V,146.842
7.0V,166.655
7.0V,137.718
7.0V,168.396
7.0V,157.607
7.0V,156.18
7.0V,136.773
7.0V,165.137
7.0V,164.677
7.0V,190.208
7.0V,140.336
7.0V,156.89
7.0V,154.391
7.0V,120.482
7.0V,158.556
7.0V,125.999
7.0V,144.013
7.0V,141.473
7.0V,121.184
7.0V,161.362
7.0V,145.313
7.0V,143.385
7.0V,137.898
7.0V,143.957
7.0V,146.191
7.0V,160.493
7.0V,156.374
7.0V,182.48
7.0V,152.953
7.0V,152.189
7.0V,143.275
7.0V,154.736
7.0V,171.896
7.0V,132.466
7.5V,206.422
7.5V,195.844
7.5V,197.477
7.5V,207.869
7.5V,203.715
7.5V,222.41
7.5V,246.32
7.5V,218.346
7.5V,251.238
7.5V,252.327
7.5V,210.329
7.5V,255.921
7.5V,258.672
7.5V,211.961
7.5V,218.263
7.5V,182.834
7.5V,231.696
7.5V,233.652
7.5V,268.478
7.5V,263.558
7.5V,224.069
7.5V,182.885
7.5V,231.96
7.5V,159.498
7.5V,216.288
7.5V,253.806
7.5V,256.873
7.5V,279.474
7.5V,229.574
8.1V,203.205
8.1V,243.389
8.1V,204.628
8.1V,291.082
8.1V,289.261
8.1V,280.559
8.1V,296.734
8.1V,244.855
8.1V,289.905
8.1V,243.921
8.1V,246.126
8.1V,156.74
8.1V,234.91
8.1V,272.243
8.1V,296.59
8.1V,295.568
8.1V,292.388
8.1V,332.052
8.1V,326.57
8.1V,306.488
8.1V,275.806
8.1V,312.674
8.1V,306.601
8.1V,296.294
8.1V,298.734
8.1V,291.284
8.1V,240.907
8.1V,305.62
8.1V,275.977
8.1V,284.46
8.1S,335.075
8.1S,357.767
8.1S,314.974
8.1S,341.597
8.1S,334.618
8.1S,337.003
8.1S,351.43
8.1S,325.275
8.1S,355.932
8.1S,372.597
8.1S,345.507
8.1S,298.493
8.1S,336.111
8.1S,342.682
8.1S,282.496
8.1S,179.221
8.1S,332.575
8.1S,321.404
8.1S,310.313
8.1S,346.875
8.1S,340.616
8.1S,312.367
8.1S,342.46
8.1S,296.161
8.1S,312.991
8.1S,330.94
8.1S,357.616
7.5S,236.394
7.5S,233.045
7.5S,230.816
7.5S,261.712
7.5S,257.769
7.5S,246.351
7.5S,149.148
7.5S,277.959
7.5S,252.513
7.5S,191.233
7.5S,272.638
7.5S,235.03
7.5S,250.246
7.5S,187.918
7.5S,215.97
7.5S,294.375
7.5S,274.838
7.5S,267.183
7.5S,261.679
7.5S,247.095
7.5S,254.08
7.5S,241.826
7.5S,260.42
7.5S,266.863
7.5S,212.591
7.5S,153.508
7.5S,247.708
7.5S,246.626
7.5S,252.503
7.5S,235.147
7.5S,257.47
7.0S,187.3256667
7.0S,174.978
7.0S,184.9773333
7.0S,181.0543333
7.0S,188.6746667
7.0S,205.7986667
7.0S,141.3556667
7.0S,168.8226667
7.0S,194.8666667
7.0S,162.0113333
7.0S,161.6816667
7.0S,185.1463333
7.0S,138.447
7.0S,160.322
7.0S,92.597
7.0S,184.6413333
7.0S,201.058
7.0S,200.7576667
7.0S,179.1046667
7.0S,160.766
7.0S,149.885
7.0S,170.9866667
7.0S,175.9786667
7.0S,206.4233333
7.0S,214.1203333
7.0S,166.8656667
7.0S,184.211
7.0S,175.159
7.0S,154.8833333
7.0S,161.274
