Treatment,Alive,Dead,Proportion
7.0V,33,67,0.33
7.0V,21,79,0.21
7.0V,32,68,0.32
7.0V,16,84,0.16
7.0V,8,92,0.08
7.0V,15,85,0.15
7.0V,23,77,0.23
7.0V,24,76,0.24
7.0V,22,78,0.22
7.0V,13,87,0.13
7.0V,17,83,0.17
7.0V,12,88,0.12
7.0V,6,94,0.06
7.0V,6,94,0.06
7.0V,7,93,0.07
7.5V,16,84,0.16
7.5V,13,87,0.13
7.5V,12,88,0.12
7.5V,34,66,0.34
7.5V,44,56,0.44
7.5V,31,69,0.31
7.5V,15,85,0.15
7.5V,8,92,0.08
7.5V,8,92,0.08
7.5V,28,72,0.28
7.5V,36,64,0.36
7.5V,34,66,0.34
7.5V,42,58,0.42
7.5V,17,83,0.17
7.5V,28,72,0.28
7.5V,39,61,0.39
8.1S,46,54,0.46
8.1S,38,62,0.38
8.1S,45,55,0.45
8.1S,14,86,0.14
8.1S,12,88,0.12
8.1S,25,75,0.25
8.1S,19,81,0.19
8.1S,26,74,0.26
8.1S,27,73,0.27
8.1S,26,74,0.26
8.1S,34,66,0.34
8.1S,36,64,0.36
8.1V,4,96,0.04
8.1V,2,98,0.02
8.1V,2,98,0.02
8.1V,31,69,0.31
8.1V,30,70,0.3
8.1V,1,99,0.01
8.1V,4,96,0.04
8.1V,2,98,0.02
8.1V,44,56,0.44
8.1V,60,40,0.6
8.1V,51,49,0.51
8.1V,44,56,0.44
8.1V,44,56,0.44
8.1V,47,53,0.47
8.1V,26,74,0.26
8.1V,37,63,0.37
8.1V,47,53,0.47
7.0S,6,94,0.06
7.0S,15,85,0.15
7.0S,12,88,0.12
7.0S,10,90,0.1
7.0S,23,77,0.23
7.0S,15,85,0.15
7.0S,4,96,0.04
7.0S,0,100,0
7.0S,3,97,0.03
7.0S,4,96,0.04
7.0S,17,83,0.17
7.0S,10,90,0.1
7.0S,6,94,0.06
7.0S,11,89,0.11
7.0S,6,94,0.06
7.0S,7,93,0.07
7.0S,5,95,0.05
7.0S,17,83,0.17
7.5S,19,81,0.19
7.5S,10,90,0.1
7.5S,8,92,0.08
7.5S,8,92,0.08
7.5S,6,94,0.06
7.5S,4,96,0.04
7.5S,17,83,0.17
7.5S,13,87,0.13
7.5S,14,86,0.14
7.5S,16,84,0.16
7.5S,12,88,0.12
7.5S,12,88,0.12
