Day,Num,pH7.0V,pH7.5V,pH8.1S,pH8.1V,pH7.0S,pH7.5S
D1,1,7.003394,7.505186,8.09387,8.102201,7.000958,7.490741
D1,2,7.002236,7.508994,8.100633,8.10211,6.998693,7.491721
D1,3,7.001975,7.512913,8.100978,8.102201,6.998154,7.492066
D1,4,7.001737,7.513408,8.100626,8.102147,6.998728,7.488805
D1,5,7.005802,7.51261,8.100866,8.102067,6.998269,7.49583
D1,6,7.058863,7.541636,8.094699,8.118943,6.999332,7.486161
D1,7,7.088338,7.556547,8.096965,8.044693,7.000238,7.491964
D1,8,7.098626,7.556023,8.100946,8.033668,7.000364,7.488608
D1,9,7.104908,7.555763,8.100712,8.044051,6.999674,7.496566
D1,10,7.149063,7.579999,8.101082,8.049726,6.999246,7.487254
D1,11,7.10548,7.598099,8.100696,8.02302,6.998768,7.492915
D1,12,7.105511,7.596987,8.10093,8.014305,7.000295,7.492686
D1,13,7.106614,7.59828,8.095012,8.031857,6.999273,7.496194
D1,14,7.16245,7.611669,8.100722,8.026884,7.032624,7.491729
D1,15,7.174836,7.644272,8.096509,7.805811,6.967626,7.490984
D1,16,7.17514,7.651763,8.100722,7.84236,6.973525,7.497151
D1,17,7.175292,7.6526,8.096199,7.870233,6.969155,7.489234
D1,18,7.209908,7.671001,8.100737,7.907803,6.981751,7.484809
D1,19,7.214399,7.699522,8.101,7.930387,6.998739,7.460183
D1,20,7.213451,7.707319,8.100775,7.940599,6.999324,7.473111
D1,21,7.215094,7.707417,8.100984,7.910807,6.999246,7.469253
D1,22,7.25786,7.718431,8.100828,7.931199,6.998356,7.49561
D1,23,7.267844,7.744462,8.093976,7.665201,6.998552,7.492073
D1,24,7.267885,7.751086,8.099245,7.66712,6.998195,7.490904
D1,25,7.268358,7.751411,8.093363,7.722075,6.999681,7.496439
D1,26,7.314251,7.758284,8.100433,7.774365,6.99858,7.489232
D1,27,7.322627,7.775367,8.101574,7.812977,6.998672,7.49744
D1,28,7.322999,7.789327,8.101297,7.846073,6.998827,7.496616
D1,29,7.32294,7.804128,8.101427,7.812206,6.998993,7.497457
D1,30,7.29531,7.758765,8.101065,7.836147,6.998438,7.489964
D1,31,7.259175,7.679338,8.100742,7.577351,6.998882,7.497514
D1,32,7.259528,7.707114,8.098373,7.624937,6.999475,7.496712
D1,33,7.261732,7.736339,8.100753,7.680521,6.999615,7.490252
D1,34,7.245138,7.717587,8.100946,7.729952,6.998112,7.492949
D1,35,7.204869,7.641953,8.101016,7.716182,6.9999,7.487999
D1,36,7.204972,7.682825,8.100754,7.737037,6.998184,7.496745
D1,37,7.206593,7.70047,8.096708,7.704185,6.998807,7.490929
D1,38,7.198402,7.670122,8.099851,7.730447,7.033257,7.487715
D1,39,7.159772,7.597126,8.101547,7.490463,6.964509,7.49461
D1,40,7.159098,7.639053,8.101517,7.526612,6.971541,7.492418
D1,41,7.16159,7.631803,8.101427,7.592693,6.97277,7.487511
D1,42,7.147679,7.616241,8.101082,7.635963,6.999361,7.488742
D1,43,7.105314,7.553854,8.100738,7.616047,6.999874,7.497606
D1,44,7.106155,7.579101,8.100754,7.617775,7.00019,7.490749
D1,45,7.108066,7.581514,8.100623,7.629519,6.99859,7.490689
D1,46,7.105157,7.578747,8.100086,7.532293,7.033783,7.497553
D1,47,7.063097,7.509875,8.102345,7.353893,6.966565,7.497062
D1,48,7.063019,7.541486,8.102027,7.439751,6.977266,7.491276
D1,49,7.064107,7.548716,8.101209,7.517379,6.974247,7.490877
D1,50,7.057078,7.531321,8.110463,7.581747,6.994056,7.494265
D1,51,7.006049,7.472608,8.117152,7.343118,6.999025,7.494252
D1,52,7.005485,7.500071,8.071744,7.395774,6.999165,7.496862
D1,53,7.007103,7.495527,8.083955,7.47856,6.999191,7.497021
D1,54,7.011723,7.479558,8.096509,7.519556,7.034505,7.489888
D1,55,6.953546,7.426022,8.101768,7.330821,6.979594,7.492284
D1,56,6.953716,7.441664,8.101194,7.415131,6.967566,7.497007
